118,Kevin Love\loveke01,C,29,CLE,14,463,14.8,.519,.355,.247,8.0,30.8,19.3,7.9,1.0,1.2,12.0,23.8,,0.2,0.5,0.7,.077,,-3.0,0.4,-2.5,-0.1
119,Kyle Lowry\lowryky01,PG,31,TOR,10,361,19.9,.659,.534,.271,0.7,14.2,7.3,37.0,2.1,0.0,19.0,20.5,,1.1,0.0,1.1,.150,,3.7,0.2,3.9,0.5
120,Ian Mahinmi\mahinia01,C,31,WAS,6,52,30.3,.796,.000,.786,9.2,16.0,12.6,3.0,3.8,8.2,5.0,16.8,,0.3,0.1,0.4,.358,,3.8,6.1,9.9,0.2
121,Thon Maker\makerth01,C,20,MIL,6,130,11.2,.531,.714,.250,5.9,14.6,10.5,5.4,0.8,7.6,11.4,13.1,,0.1,0.2,0.2,.081,,-1.5,2.9,1.4,0.1
122,Luc Mbah a Moute\mbahalu01,PF,31,HOU,8,135,2.7,.345,.412,.147,1.6,15.7,8.6,3.0,1.5,2.5,14.2,14.0,,-0.4,0.2,-0.2,-0.067,,-7.8,1.3,-6.5,-0.2
123,C.J. McCollum\mccolcj01,SG,26,POR,4,155,19.5,.610,.338,.169,0.0,6.2,2.9,15.0,1.6,0.5,9.8,25.3,,0.4,0.0,0.4,.111,,2.1,-1.6,0.4,0.1
124,T.J. McConnell\mccontj01,PG,25,PHI,10,155,17.8,.720,.083,.139,4.1,14.0,9.0,23.3,1.9,0.0,13.6,12.0,,0.4,0.2,0.6,.194,,2.5,0.0,2.4,0.2
125,JaVale McGee\mcgeeja01,C,30,GSW,9,103,21.9,.626,.026,.211,12.8,21.4,17.2,6.0,1.4,4.9,8.8,19.3,,0.3,0.2,0.5,.229,,1.4,1.5,2.9,0.1
126,Rodney McGruder\mcgruro01,SG,26,MIA,4,16,-3.0,.250,.500,.000,0.0,26.9,13.2,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.109,,-12.4,-3.0,-15.5,-0.1
127,Khris Middleton\middlkh01,SF,26,MIL,7,275,22.4,.719,.366,.170,0.5,14.2,7.8,14.3,1.1,1.6,11.7,24.1,,0.9,0.2,1.1,.195,,5.4,-1.0,4.4,0.4
